Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,phase_sync_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,max_repeated_frames,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_frag_inst_per_pixel,avg_vert_inst_per_pixel,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,dynres_recommendation_percentage,dynres_recommendation_width,dynres_recommendation_height
1000,2836,437,54,34,9999,0,1523,0,3546,5400,5,4,2419,525,2000,1,0,1,75,72,39,0,30,4,0,0,1440,1584,1178,3893,0,50,75,86,80,76,43,38,50,57,44,0,0,11284,569,0,371,56,427,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,218,33,72,50,2,1,93,7,0,2,15,41,0,9,91,0,0,0,0,101,0,0,0
2001,2836,437,54,34,9999,0,1995,0,3581,7144,5,4,1478,525,2000,1,0,1,48,72,39,1,29,38,0,0,1440,1584,12852,2918,0,14,86,71,75,80,14,5,10,38,47,0,0,11284,569,0,371,56,427,23,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,545,48,78,256,4,2,94,5,1,7,8,26,3,2,89,0,0,0,0,101,0,0,0
3001,2836,437,54,34,9999,0,1625,0,3581,5819,5,4,1478,525,2000,1,0,1,51,72,56,0,97,12,0,0,1440,1584,4446,2984,0,31,68,66,66,72,30,21,31,19,64,0,0,11284,569,0,371,56,427,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,562,50,79,279,4,2,94,5,1,8,8,26,4,1,89,0,0,0,0,101,0,0,0
4001,2836,437,54,34,9999,0,1666,0,3615,6022,5,4,1478,525,2000,1,0,1,71,72,47,0,42,0,0,0,1440,1584,4802,2971,0,28,55,57,57,57,28,22,19,27,59,0,0,11284,569,0,371,56,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,309,59,78,196,3,2,94,5,1,7,9,26,4,1,89,0,0,0,0,101,0,0,0
5001,2836,437,54,34,9999,0,1700,0,3615,6145,5,4,1862,525,2000,1,0,1,71,72,35,0,5,2,0,0,1440,1584,4779,3104,0,28,78,75,77,85,26,28,23,26,58,0,0,11284,569,0,371,56,427,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,294,60,80,191,3,2,94,5,1,7,9,26,5,2,89,0,0,0,0,101,0,0,0
6002,2836,437,54,34,9999,0,1710,0,3615,6181,5,4,1478,525,2000,1,0,1,72,72,35,0,0,0,0,0,1440,1584,4878,2833,0,31,60,55,57,73,19,31,25,25,58,0,0,11284,569,0,371,56,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,284,60,80,186,3,2,94,6,1,7,9,25,4,2,89,0,0,0,0,101,0,0,0
7002,2836,437,54,35,9999,0,1752,0,3602,6310,5,4,1862,525,2000,1,0,1,72,72,34,0,0,0,0,0,1440,1584,4862,1545,0,28,50,47,50,47,23,27,28,19,48,0,0,11284,569,0,371,56,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,167,76,79,160,2,3,94,5,1,7,10,22,4,2,86,0,0,0,0,101,0,0,0
8001,2836,437,54,35,9999,0,1605,0,3602,5781,5,4,1478,525,2000,1,0,1,72,72,34,0,0,0,0,0,1440,1584,4620,1544,0,30,50,52,57,52,26,30,22,28,45,0,0,11284,569,0,371,56,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,134,85,78,160,2,3,94,5,1,8,12,23,3,2,86,0,0,0,0,101,0,0,0
9001,2836,437,54,35,9999,0,1669,0,3602,6011,5,4,1478,525,2000,1,0,1,72,72,32,0,0,0,0,0,1440,1584,4220,1695,0,23,42,45,45,39,23,23,19,19,44,0,0,11284,569,0,371,56,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,140,82,75,158,2,3,95,4,1,9,12,26,4,2,86,0,0,0,0,101,0,0,0
10002,2836,437,54,35,9999,0,1603,0,3602,5774,5,4,1478,525,2000,1,0,1,72,72,30,0,0,0,0,0,1440,1584,4211,1577,0,28,47,50,52,45,23,28,16,19,44,0,0,11284,569,0,371,56,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,124,81,74,143,1,3,94,4,1,9,12,26,3,2,85,0,0,0,0,101,0,0,0
