Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;BallStatus;BallPosX;BallPosY;BallPosZ;
65051;0.0410;15.2349;1.5906;-0.0170;5.2606;267.2903;354.2214;True;True;15.0627;1.2578;0.2323;356.5534;287.9842;358.2348;0.0392;0.0215;0.0104;0.0000;True;True;15.0535;1.2676;-0.2737;355.0924;252.8568;15.6372;0.0377;-0.0110;-0.0591;0.0000;1;En movimiento;5.1560;1.1567;-1.0331
65054;0.0825;15.2365;1.5908;-0.0170;5.0735;267.4639;354.2224;True;True;15.0640;1.2583;0.2328;356.4404;288.1648;358.1589;0.0306;0.0111;0.0144;0.0000;True;True;15.0551;1.2671;-0.2758;355.1073;252.4623;15.8836;0.0402;-0.0110;-0.0480;0.0000;1;En movimiento;5.5279;1.1518;-0.9990
65057;0.1241;15.2380;1.5911;-0.0172;4.8831;267.5763;354.2880;True;True;15.0652;1.2585;0.2334;356.4398;288.2984;358.2256;0.0322;0.0047;0.0168;0.0000;True;True;15.0565;1.2664;-0.2775;355.1680;251.9552;15.9630;0.0310;-0.0180;-0.0400;0.0000;1;En movimiento;5.9001;1.1490;-0.9649
65060;0.1664;15.2391;1.5913;-0.0174;4.7543;267.6062;354.3506;True;True;15.0666;1.2587;0.2343;356.4456;288.5156;358.3488;0.0388;0.0066;0.0272;0.0000;True;True;15.0578;1.2656;-0.2786;355.3338;251.7340;16.1633;0.0358;-0.0189;-0.0196;0.0000;1;En movimiento;6.2797;1.1457;-0.9301
65063;0.2074;15.2403;1.5914;-0.0177;4.7278;267.6161;354.3971;True;True;15.0681;1.2588;0.2354;356.4221;288.7722;358.2584;0.0382;0.0027;0.0277;0.0000;True;True;15.0588;1.2650;-0.2788;355.4905;251.7657;16.2482;0.0151;-0.0114;0.0012;0.0000;1;En movimiento;6.6474;1.1429;-0.8964
65066;0.2494;15.2412;1.5914;-0.0180;4.7259;267.6081;354.4686;True;True;15.0697;1.2589;0.2362;356.3247;288.9913;358.1853;0.0347;-0.0009;0.0176;0.0000;True;True;15.0597;1.2642;-0.2787;355.5455;251.9748;15.9532;0.0240;-0.0253;0.0029;0.0000;1;En movimiento;7.0233;1.1403;-0.8620
65069;0.2915;15.2421;1.5915;-0.0183;4.7587;267.6565;354.4744;True;True;15.0708;1.2585;0.2372;356.3799;289.2083;358.3302;0.0240;-0.0121;0.0241;0.0000;True;True;15.0605;1.2631;-0.2789;355.7097;252.2744;15.7435;0.0172;-0.0281;-0.0066;0.0000;1;En movimiento;7.4011;1.1370;-0.8274
65072;0.3332;15.2426;1.5914;-0.0184;4.8185;267.7773;354.4805;True;True;15.0718;1.2579;0.2382;356.5536;289.5023;358.2397;0.0231;-0.0134;0.0197;0.0000;True;True;15.0611;1.2620;-0.2798;355.9245;252.3411;15.4653;0.0126;-0.0252;-0.0303;0.0000;1;En movimiento;7.7743;1.1344;-0.7932
65075;0.3745;15.2430;1.5912;-0.0186;4.9491;267.9302;354.4640;True;True;15.0726;1.2575;0.2387;356.7243;289.6362;358.3178;0.0165;-0.0052;0.0078;0.0000;True;True;15.0619;1.2609;-0.2827;356.0139;251.5517;14.8382;0.0201;-0.0263;-0.0974;0.0000;1;En movimiento;8.1445;1.1311;-0.7593
65078;0.4161;15.2432;1.5908;-0.0188;5.1587;268.0720;354.4340;True;True;15.0735;1.2575;0.2391;356.7668;289.7286;358.5001;0.0202;0.0023;0.0101;0.0000;True;True;15.0627;1.2603;-0.2860;356.2022;251.0140;15.0906;0.0384;-0.0021;-0.0895;0.0000;1;En movimiento;8.5172;1.1285;-0.7252
